file_path,emotion,augmented,original_file
data/processed\calm_enhanced\classical_classical.00007_pitch_+1.wav,calm,True,data/processed\calm\classical_classical.00007.wav
data/processed\calm_enhanced\classical_classical.00007_pitch_+2.wav,calm,True,data/processed\calm\classical_classical.00007.wav
data/processed\calm_enhanced\classical_classical.00007_stretch_0.8.wav,calm,True,data/processed\calm\classical_classical.00007.wav
data/processed\calm_enhanced\classical_classical.00007_stretch_0.9.wav,calm,True,data/processed\calm\classical_classical.00007.wav
data/processed\calm_enhanced\classical_classical.00007_stretch_1.1.wav,calm,True,data/processed\calm\classical_classical.00007.wav
data/processed\calm_enhanced\classical_classical.00007_stretch_1.2.wav,calm,True,data/processed\calm\classical_classical.00007.wav
data/processed\calm_enhanced\classical_classical.00007_noise_0.005.wav,calm,True,data/processed\calm\classical_classical.00007.wav
data/processed\calm_enhanced\classical_classical.00007_noise_0.010.wav,calm,True,data/processed\calm\classical_classical.00007.wav
data/processed\calm_enhanced\classical_classical.00008_pitch_-2.wav,calm,True,data/processed\calm\classical_classical.00008.wav
data/processed\calm_enhanced\classical_classical.00008_pitch_-1.wav,calm,True,data/processed\calm\classical_classical.00008.wav
data/processed\calm_enhanced\classical_classical.00008_pitch_+1.wav,calm,True,data/processed\calm\classical_classical.00008.wav
data/processed\calm_enhanced\classical_classical.00008_pitch_+2.wav,calm,True,data/processed\calm\classical_classical.00008.wav
data/processed\calm_enhanced\classical_classical.00008_stretch_0.8.wav,calm,True,data/processed\calm\classical_classical.00008.wav
data/processed\calm_enhanced\classical_classical.00008_stretch_0.9.wav,calm,True,data/processed\calm\classical_classical.00008.wav
data/processed\calm_enhanced\classical_classical.00008_stretch_1.1.wav,calm,True,data/processed\calm\classical_classical.00008.wav
data/processed\calm_enhanced\classical_classical.00008_stretch_1.2.wav,calm,True,data/processed\calm\classical_classical.00008.wav
data/processed\calm_enhanced\classical_classical.00008_noise_0.005.wav,calm,True,data/processed\calm\classical_classical.00008.wav
data/processed\calm_enhanced\classical_classical.00008_noise_0.010.wav,calm,True,data/processed\calm\classical_classical.00008.wav
data/processed\calm_enhanced\classical_classical.00009_pitch_-2.wav,calm,True,data/processed\calm\classical_classical.00009.wav
data/processed\calm_enhanced\classical_classical.00009_pitch_-1.wav,calm,True,data/processed\calm\classical_classical.00009.wav
data/processed\calm_enhanced\classical_classical.00009_pitch_+1.wav,calm,True,data/processed\calm\classical_classical.00009.wav
data/processed\calm_enhanced\classical_classical.00009_pitch_+2.wav,calm,True,data/processed\calm\classical_classical.00009.wav
data/processed\calm_enhanced\classical_classical.00009_stretch_0.8.wav,calm,True,data/processed\calm\classical_classical.00009.wav
data/processed\calm_enhanced\classical_classical.00009_stretch_0.9.wav,calm,True,data/processed\calm\classical_classical.00009.wav
data/processed\calm_enhanced\classical_classical.00009_stretch_1.1.wav,calm,True,data/processed\calm\classical_classical.00009.wav
data/processed\calm_enhanced\classical_classical.00009_stretch_1.2.wav,calm,True,data/processed\calm\classical_classical.00009.wav
data/processed\calm_enhanced\classical_classical.00009_noise_0.005.wav,calm,True,data/processed\calm\classical_classical.00009.wav
data/processed\calm_enhanced\classical_classical.00009_noise_0.010.wav,calm,True,data/processed\calm\classical_classical.00009.wav
data/processed\calm_enhanced\classical_classical.00010_pitch_-2.wav,calm,True,data/processed\calm\classical_classical.00010.wav
data/processed\calm_enhanced\classical_classical.00010_pitch_-1.wav,calm,True,data/processed\calm\classical_classical.00010.wav
data/processed\calm_enhanced\classical_classical.00010_pitch_+1.wav,calm,True,data/processed\calm\classical_classical.00010.wav
data/processed\calm_enhanced\classical_classical.00010_pitch_+2.wav,calm,True,data/processed\calm\classical_classical.00010.wav
data/processed\calm_enhanced\classical_classical.00010_stretch_0.8.wav,calm,True,data/processed\calm\classical_classical.00010.wav
data/processed\calm_enhanced\classical_classical.00010_stretch_0.9.wav,calm,True,data/processed\calm\classical_classical.00010.wav
data/processed\calm_enhanced\classical_classical.00010_stretch_1.1.wav,calm,True,data/processed\calm\classical_classical.00010.wav
data/processed\calm_enhanced\classical_classical.00010_stretch_1.2.wav,calm,True,data/processed\calm\classical_classical.00010.wav
data/processed\calm_enhanced\classical_classical.00010_noise_0.005.wav,calm,True,data/processed\calm\classical_classical.00010.wav
data/processed\calm_enhanced\classical_classical.00010_noise_0.010.wav,calm,True,data/processed\calm\classical_classical.00010.wav
data/processed\calm_enhanced\classical_classical.00011_pitch_-2.wav,calm,True,data/processed\calm\classical_classical.00011.wav
data/processed\calm_enhanced\classical_classical.00011_pitch_-1.wav,calm,True,data/processed\calm\classical_classical.00011.wav
data/processed\calm_enhanced\classical_classical.00011_pitch_+1.wav,calm,True,data/processed\calm\classical_classical.00011.wav
data/processed\calm_enhanced\classical_classical.00011_pitch_+2.wav,calm,True,data/processed\calm\classical_classical.00011.wav
data/processed\calm_enhanced\classical_classical.00011_stretch_0.8.wav,calm,True,data/processed\calm\classical_classical.00011.wav
data/processed\calm_enhanced\classical_classical.00011_stretch_0.9.wav,calm,True,data/processed\calm\classical_classical.00011.wav
data/processed\calm_enhanced\classical_classical.00011_stretch_1.1.wav,calm,True,data/processed\calm\classical_classical.00011.wav
data/processed\calm_enhanced\classical_classical.00011_stretch_1.2.wav,calm,True,data/processed\calm\classical_classical.00011.wav
data/processed\calm_enhanced\classical_classical.00011_noise_0.005.wav,calm,True,data/processed\calm\classical_classical.00011.wav
data/processed\calm_enhanced\classical_classical.00011_noise_0.010.wav,calm,True,data/processed\calm\classical_classical.00011.wav
data/processed\calm_enhanced\classical_classical.00012_pitch_-2.wav,calm,True,data/processed\calm\classical_classical.00012.wav
data/processed\calm_enhanced\classical_classical.00012_pitch_-1.wav,calm,True,data/processed\calm\classical_classical.00012.wav
data/processed\calm_enhanced\classical_classical.00012_pitch_+1.wav,calm,True,data/processed\calm\classical_classical.00012.wav
data/processed\calm_enhanced\classical_classical.00012_pitch_+2.wav,calm,True,data/processed\calm\classical_classical.00012.wav
data/processed\calm_enhanced\classical_classical.00012_stretch_0.8.wav,calm,True,data/processed\calm\classical_classical.00012.wav
data/processed\calm_enhanced\classical_classical.00012_stretch_0.9.wav,calm,True,data/processed\calm\classical_classical.00012.wav
data/processed\calm_enhanced\classical_classical.00012_stretch_1.1.wav,calm,True,data/processed\calm\classical_classical.00012.wav
data/processed\calm_enhanced\classical_classical.00012_stretch_1.2.wav,calm,True,data/processed\calm\classical_classical.00012.wav
data/processed\calm_enhanced\classical_classical.00012_noise_0.005.wav,calm,True,data/processed\calm\classical_classical.00012.wav
data/processed\calm_enhanced\classical_classical.00012_noise_0.010.wav,calm,True,data/processed\calm\classical_classical.00012.wav
data/processed\calm_enhanced\classical_classical.00013_pitch_-2.wav,calm,True,data/processed\calm\classical_classical.00013.wav
data/processed\calm_enhanced\classical_classical.00013_pitch_-1.wav,calm,True,data/processed\calm\classical_classical.00013.wav
data/processed\calm_enhanced\classical_classical.00013_pitch_+1.wav,calm,True,data/processed\calm\classical_classical.00013.wav
data/processed\calm_enhanced\classical_classical.00013_pitch_+2.wav,calm,True,data/processed\calm\classical_classical.00013.wav
data/processed\calm_enhanced\classical_classical.00013_stretch_0.8.wav,calm,True,data/processed\calm\classical_classical.00013.wav
data/processed\calm_enhanced\classical_classical.00013_stretch_0.9.wav,calm,True,data/processed\calm\classical_classical.00013.wav
data/processed\calm_enhanced\classical_classical.00013_stretch_1.1.wav,calm,True,data/processed\calm\classical_classical.00013.wav
data/processed\calm_enhanced\classical_classical.00013_stretch_1.2.wav,calm,True,data/processed\calm\classical_classical.00013.wav
data/processed\calm_enhanced\classical_classical.00013_noise_0.005.wav,calm,True,data/processed\calm\classical_classical.00013.wav
data/processed\calm_enhanced\classical_classical.00013_noise_0.010.wav,calm,True,data/processed\calm\classical_classical.00013.wav
data/processed\calm_enhanced\classical_classical.00014_pitch_-2.wav,calm,True,data/processed\calm\classical_classical.00014.wav
data/processed\calm_enhanced\classical_classical.00014_pitch_-1.wav,calm,True,data/processed\calm\classical_classical.00014.wav
data/processed\calm_enhanced\classical_classical.00014_pitch_+1.wav,calm,True,data/processed\calm\classical_classical.00014.wav
data/processed\calm_enhanced\classical_classical.00014_pitch_+2.wav,calm,True,data/processed\calm\classical_classical.00014.wav
data/processed\calm_enhanced\classical_classical.00014_stretch_0.8.wav,calm,True,data/processed\calm\classical_classical.00014.wav
data/processed\calm_enhanced\classical_classical.00014_stretch_0.9.wav,calm,True,data/processed\calm\classical_classical.00014.wav
data/processed\calm_enhanced\classical_classical.00014_stretch_1.1.wav,calm,True,data/processed\calm\classical_classical.00014.wav
data/processed\calm_enhanced\classical_classical.00014_stretch_1.2.wav,calm,True,data/processed\calm\classical_classical.00014.wav
data/processed\calm_enhanced\classical_classical.00014_noise_0.005.wav,calm,True,data/processed\calm\classical_classical.00014.wav
data/processed\calm_enhanced\classical_classical.00014_noise_0.010.wav,calm,True,data/processed\calm\classical_classical.00014.wav
data/processed\calm_enhanced\classical_classical.00015_pitch_-2.wav,calm,True,data/processed\calm\classical_classical.00015.wav
data/processed\calm_enhanced\classical_classical.00015_pitch_-1.wav,calm,True,data/processed\calm\classical_classical.00015.wav
data/processed\calm_enhanced\classical_classical.00015_pitch_+1.wav,calm,True,data/processed\calm\classical_classical.00015.wav
data/processed\calm_enhanced\classical_classical.00015_pitch_+2.wav,calm,True,data/processed\calm\classical_classical.00015.wav
data/processed\calm_enhanced\classical_classical.00015_stretch_0.8.wav,calm,True,data/processed\calm\classical_classical.00015.wav
data/processed\calm_enhanced\classical_classical.00015_stretch_0.9.wav,calm,True,data/processed\calm\classical_classical.00015.wav
data/processed\calm_enhanced\classical_classical.00015_stretch_1.1.wav,calm,True,data/processed\calm\classical_classical.00015.wav
data/processed\calm_enhanced\classical_classical.00015_stretch_1.2.wav,calm,True,data/processed\calm\classical_classical.00015.wav
data/processed\calm_enhanced\classical_classical.00015_noise_0.005.wav,calm,True,data/processed\calm\classical_classical.00015.wav
data/processed\calm_enhanced\classical_classical.00015_noise_0.010.wav,calm,True,data/processed\calm\classical_classical.00015.wav
data/processed\calm_enhanced\classical_classical.00016_pitch_-2.wav,calm,True,data/processed\calm\classical_classical.00016.wav
data/processed\calm_enhanced\classical_classical.00016_pitch_-1.wav,calm,True,data/processed\calm\classical_classical.00016.wav
data/processed\calm_enhanced\classical_classical.00016_pitch_+1.wav,calm,True,data/processed\calm\classical_classical.00016.wav
data/processed\calm_enhanced\classical_classical.00016_pitch_+2.wav,calm,True,data/processed\calm\classical_classical.00016.wav
data/processed\calm_enhanced\classical_classical.00016_stretch_0.8.wav,calm,True,data/processed\calm\classical_classical.00016.wav
data/processed\calm_enhanced\classical_classical.00016_stretch_0.9.wav,calm,True,data/processed\calm\classical_classical.00016.wav
data/processed\calm_enhanced\classical_classical.00016_stretch_1.1.wav,calm,True,data/processed\calm\classical_classical.00016.wav
data/processed\calm_enhanced\classical_classical.00016_stretch_1.2.wav,calm,True,data/processed\calm\classical_classical.00016.wav
data/processed\calm_enhanced\classical_classical.00016_noise_0.005.wav,calm,True,data/processed\calm\classical_classical.00016.wav
data/processed\calm_enhanced\classical_classical.00016_noise_0.010.wav,calm,True,data/processed\calm\classical_classical.00016.wav
data/processed\calm_enhanced\classical_classical.00017_pitch_-2.wav,calm,True,data/processed\calm\classical_classical.00017.wav
data/processed\calm_enhanced\classical_classical.00017_pitch_-1.wav,calm,True,data/processed\calm\classical_classical.00017.wav
data/processed\calm_enhanced\classical_classical.00017_pitch_+1.wav,calm,True,data/processed\calm\classical_classical.00017.wav
data/processed\calm_enhanced\classical_classical.00017_pitch_+2.wav,calm,True,data/processed\calm\classical_classical.00017.wav
data/processed\calm_enhanced\classical_classical.00017_stretch_0.8.wav,calm,True,data/processed\calm\classical_classical.00017.wav
data/processed\calm_enhanced\classical_classical.00017_stretch_0.9.wav,calm,True,data/processed\calm\classical_classical.00017.wav
data/processed\calm_enhanced\classical_classical.00017_stretch_1.1.wav,calm,True,data/processed\calm\classical_classical.00017.wav
data/processed\calm_enhanced\classical_classical.00017_stretch_1.2.wav,calm,True,data/processed\calm\classical_classical.00017.wav
data/processed\calm_enhanced\classical_classical.00017_noise_0.005.wav,calm,True,data/processed\calm\classical_classical.00017.wav
data/processed\calm_enhanced\classical_classical.00017_noise_0.010.wav,calm,True,data/processed\calm\classical_classical.00017.wav
data/processed\calm_enhanced\classical_classical.00018_pitch_-2.wav,calm,True,data/processed\calm\classical_classical.00018.wav
data/processed\calm_enhanced\classical_classical.00018_pitch_-1.wav,calm,True,data/processed\calm\classical_classical.00018.wav
data/processed\calm_enhanced\classical_classical.00018_pitch_+1.wav,calm,True,data/processed\calm\classical_classical.00018.wav
data/processed\calm_enhanced\classical_classical.00018_pitch_+2.wav,calm,True,data/processed\calm\classical_classical.00018.wav
data/processed\calm_enhanced\classical_classical.00018_stretch_0.8.wav,calm,True,data/processed\calm\classical_classical.00018.wav
data/processed\calm_enhanced\classical_classical.00018_stretch_0.9.wav,calm,True,data/processed\calm\classical_classical.00018.wav
data/processed\calm_enhanced\classical_classical.00018_stretch_1.1.wav,calm,True,data/processed\calm\classical_classical.00018.wav
data/processed\calm_enhanced\classical_classical.00018_stretch_1.2.wav,calm,True,data/processed\calm\classical_classical.00018.wav
data/processed\calm_enhanced\classical_classical.00018_noise_0.005.wav,calm,True,data/processed\calm\classical_classical.00018.wav
data/processed\calm_enhanced\classical_classical.00018_noise_0.010.wav,calm,True,data/processed\calm\classical_classical.00018.wav
data/processed\calm_enhanced\classical_classical.00019_pitch_-2.wav,calm,True,data/processed\calm\classical_classical.00019.wav
data/processed\calm_enhanced\classical_classical.00019_pitch_-1.wav,calm,True,data/processed\calm\classical_classical.00019.wav
data/processed\calm_enhanced\classical_classical.00019_pitch_+1.wav,calm,True,data/processed\calm\classical_classical.00019.wav
data/processed\calm_enhanced\classical_classical.00019_pitch_+2.wav,calm,True,data/processed\calm\classical_classical.00019.wav
data/processed\calm_enhanced\classical_classical.00019_stretch_0.8.wav,calm,True,data/processed\calm\classical_classical.00019.wav
data/processed\calm_enhanced\classical_classical.00019_stretch_0.9.wav,calm,True,data/processed\calm\classical_classical.00019.wav
data/processed\calm_enhanced\classical_classical.00019_stretch_1.1.wav,calm,True,data/processed\calm\classical_classical.00019.wav
data/processed\calm_enhanced\classical_classical.00019_stretch_1.2.wav,calm,True,data/processed\calm\classical_classical.00019.wav
data/processed\calm_enhanced\classical_classical.00019_noise_0.005.wav,calm,True,data/processed\calm\classical_classical.00019.wav
data/processed\calm_enhanced\classical_classical.00019_noise_0.010.wav,calm,True,data/processed\calm\classical_classical.00019.wav
data/processed\calm_enhanced\classical_classical.00020_pitch_-2.wav,calm,True,data/processed\calm\classical_classical.00020.wav
data/processed\calm_enhanced\classical_classical.00020_pitch_-1.wav,calm,True,data/processed\calm\classical_classical.00020.wav
data/processed\calm_enhanced\classical_classical.00020_pitch_+1.wav,calm,True,data/processed\calm\classical_classical.00020.wav
data/processed\calm_enhanced\classical_classical.00020_pitch_+2.wav,calm,True,data/processed\calm\classical_classical.00020.wav
data/processed\calm_enhanced\classical_classical.00020_stretch_0.8.wav,calm,True,data/processed\calm\classical_classical.00020.wav
data/processed\calm_enhanced\classical_classical.00020_stretch_0.9.wav,calm,True,data/processed\calm\classical_classical.00020.wav
data/processed\calm_enhanced\classical_classical.00020_stretch_1.1.wav,calm,True,data/processed\calm\classical_classical.00020.wav
data/processed\calm_enhanced\classical_classical.00020_stretch_1.2.wav,calm,True,data/processed\calm\classical_classical.00020.wav
data/processed\calm_enhanced\classical_classical.00020_noise_0.005.wav,calm,True,data/processed\calm\classical_classical.00020.wav
data/processed\calm_enhanced\classical_classical.00020_noise_0.010.wav,calm,True,data/processed\calm\classical_classical.00020.wav
data/processed\calm_enhanced\classical_classical.00021_pitch_-2.wav,calm,True,data/processed\calm\classical_classical.00021.wav
data/processed\calm_enhanced\classical_classical.00021_pitch_-1.wav,calm,True,data/processed\calm\classical_classical.00021.wav
data/processed\calm_enhanced\classical_classical.00021_pitch_+1.wav,calm,True,data/processed\calm\classical_classical.00021.wav
data/processed\calm_enhanced\classical_classical.00021_pitch_+2.wav,calm,True,data/processed\calm\classical_classical.00021.wav
data/processed\calm_enhanced\classical_classical.00021_stretch_0.8.wav,calm,True,data/processed\calm\classical_classical.00021.wav
data/processed\calm_enhanced\classical_classical.00021_stretch_0.9.wav,calm,True,data/processed\calm\classical_classical.00021.wav
data/processed\calm_enhanced\classical_classical.00021_stretch_1.1.wav,calm,True,data/processed\calm\classical_classical.00021.wav
data/processed\calm_enhanced\classical_classical.00021_stretch_1.2.wav,calm,True,data/processed\calm\classical_classical.00021.wav
data/processed\calm_enhanced\classical_classical.00021_noise_0.005.wav,calm,True,data/processed\calm\classical_classical.00021.wav
data/processed\calm_enhanced\classical_classical.00021_noise_0.010.wav,calm,True,data/processed\calm\classical_classical.00021.wav
data/processed\calm_enhanced\classical_classical.00022_pitch_-2.wav,calm,True,data/processed\calm\classical_classical.00022.wav
data/processed\calm_enhanced\classical_classical.00022_pitch_-1.wav,calm,True,data/processed\calm\classical_classical.00022.wav
data/processed\calm_enhanced\classical_classical.00022_pitch_+1.wav,calm,True,data/processed\calm\classical_classical.00022.wav
data/processed\calm_enhanced\classical_classical.00022_pitch_+2.wav,calm,True,data/processed\calm\classical_classical.00022.wav
data/processed\calm_enhanced\classical_classical.00022_stretch_0.8.wav,calm,True,data/processed\calm\classical_classical.00022.wav
data/processed\calm_enhanced\classical_classical.00022_stretch_0.9.wav,calm,True,data/processed\calm\classical_classical.00022.wav
data/processed\calm_enhanced\classical_classical.00022_stretch_1.1.wav,calm,True,data/processed\calm\classical_classical.00022.wav
data/processed\calm_enhanced\classical_classical.00022_stretch_1.2.wav,calm,True,data/processed\calm\classical_classical.00022.wav
data/processed\calm_enhanced\classical_classical.00022_noise_0.005.wav,calm,True,data/processed\calm\classical_classical.00022.wav
data/processed\calm_enhanced\classical_classical.00022_noise_0.010.wav,calm,True,data/processed\calm\classical_classical.00022.wav
data/processed\calm_enhanced\classical_classical.00023_pitch_-2.wav,calm,True,data/processed\calm\classical_classical.00023.wav
data/processed\calm_enhanced\classical_classical.00023_pitch_-1.wav,calm,True,data/processed\calm\classical_classical.00023.wav
data/processed\calm_enhanced\classical_classical.00023_pitch_+1.wav,calm,True,data/processed\calm\classical_classical.00023.wav
data/processed\calm_enhanced\classical_classical.00023_pitch_+2.wav,calm,True,data/processed\calm\classical_classical.00023.wav
data/processed\calm_enhanced\classical_classical.00023_stretch_0.8.wav,calm,True,data/processed\calm\classical_classical.00023.wav
data/processed\calm_enhanced\classical_classical.00023_stretch_0.9.wav,calm,True,data/processed\calm\classical_classical.00023.wav
data/processed\calm_enhanced\classical_classical.00023_stretch_1.1.wav,calm,True,data/processed\calm\classical_classical.00023.wav
data/processed\calm_enhanced\classical_classical.00023_stretch_1.2.wav,calm,True,data/processed\calm\classical_classical.00023.wav
data/processed\calm_enhanced\classical_classical.00023_noise_0.005.wav,calm,True,data/processed\calm\classical_classical.00023.wav
data/processed\calm_enhanced\classical_classical.00023_noise_0.010.wav,calm,True,data/processed\calm\classical_classical.00023.wav
data/processed\calm_enhanced\classical_classical.00024_pitch_-2.wav,calm,True,data/processed\calm\classical_classical.00024.wav
data/processed\calm_enhanced\classical_classical.00024_pitch_-1.wav,calm,True,data/processed\calm\classical_classical.00024.wav
data/processed\calm_enhanced\classical_classical.00024_pitch_+1.wav,calm,True,data/processed\calm\classical_classical.00024.wav
